Addr: 3.235.155.167, Port: 60000
b'{"is_cold": false, "events": -1, "idx": "11733"}'
b'{"is_cold": false, "events": -1, "idx": "11734"}'
b'{"is_cold": false, "events": -1, "idx": "11735"}'
b'{"is_cold": false, "events": -1, "idx": "11736"}'
b'{"is_cold": false, "events": -1, "idx": "11737"}'
b'{"is_cold": false, "events": -1, "idx": "11738"}'
b'{"is_cold": false, "events": -1, "idx": "11739"}'
b'{"is_cold": false, "events": -1, "idx": "11740"}'
b'{"is_cold": false, "events": -1, "idx": "11741"}'
b'{"is_cold": false, "events": 10, "idx": "11742"}'
b'{"is_cold": false, "events": -1, "idx": "11743"}'
b'{"is_cold": false, "events": -1, "idx": "11744"}'
b'{"is_cold": false, "events": -1, "idx": "11745"}'
b'{"is_cold": false, "events": -1, "idx": "11746"}'
b'{"is_cold": false, "events": -1, "idx": "11747"}'
b'{"is_cold": false, "events": -1, "idx": "11748"}'
b'{"is_cold": false, "events": -1, "idx": "11749"}'
b'{"is_cold": false, "events": -1, "idx": "11750"}'
b'{"is_cold": false, "events": -1, "idx": "11751"}'
b'{"is_cold": false, "events": 10, "idx": "11752"}'
b'{"is_cold": false, "events": -1, "idx": "11753"}'
b'{"is_cold": false, "events": -1, "idx": "11754"}'
b'{"is_cold": false, "events": -1, "idx": "11755"}'
b'{"is_cold": false, "events": -1, "idx": "11756"}'
b'{"is_cold": false, "events": -1, "idx": "11757"}'
b'{"is_cold": false, "events": -1, "idx": "11758"}'
b'{"is_cold": false, "events": -1, "idx": "11759"}'
b'{"is_cold": false, "events": -1, "idx": "11760"}'
b'{"is_cold": false, "events": -1, "idx": "11761"}'
b'{"is_cold": false, "events": 10, "idx": "11762"}'
b'{"is_cold": false, "events": -1, "idx": "11763"}'
b'{"is_cold": false, "events": -1, "idx": "11764"}'
b'{"is_cold": false, "events": -1, "idx": "11765"}'
b'{"is_cold": false, "events": -1, "idx": "11766"}'
b'{"is_cold": false, "events": -1, "idx": "11767"}'
b'{"is_cold": false, "events": -1, "idx": "11768"}'
b'{"is_cold": false, "events": -1, "idx": "11769"}'
b'{"is_cold": false, "events": -1, "idx": "11770"}'
b'{"is_cold": false, "events": -1, "idx": "11771"}'
b'{"is_cold": false, "events": 10, "idx": "11772"}'
b'{"is_cold": false, "events": -1, "idx": "11773"}'
b'{"is_cold": false, "events": -1, "idx": "11774"}'
b'{"is_cold": false, "events": -1, "idx": "11775"}'
b'{"is_cold": false, "events": -1, "idx": "11776"}'
b'{"is_cold": false, "events": -1, "idx": "11777"}'
b'{"is_cold": false, "events": -1, "idx": "11778"}'
b'{"is_cold": false, "events": -1, "idx": "11779"}'
b'{"is_cold": false, "events": -1, "idx": "11780"}'
b'{"is_cold": false, "events": -1, "idx": "11781"}'
b'{"is_cold": false, "events": 10, "idx": "11782"}'
b'{"is_cold": false, "events": -1, "idx": "11783"}'
b'{"is_cold": false, "events": -1, "idx": "11784"}'
b'{"is_cold": false, "events": -1, "idx": "11785"}'
b'{"is_cold": false, "events": -1, "idx": "11786"}'
b'{"is_cold": false, "events": -1, "idx": "11787"}'
b'{"is_cold": false, "events": -1, "idx": "11788"}'
b'{"is_cold": false, "events": -1, "idx": "11789"}'
b'{"is_cold": false, "events": -1, "idx": "11790"}'
b'{"is_cold": false, "events": -1, "idx": "11791"}'
b'{"is_cold": false, "events": 10, "idx": "11792"}'
b'{"is_cold": false, "events": -1, "idx": "11793"}'
b'{"is_cold": false, "events": -1, "idx": "11794"}'
b'{"is_cold": false, "events": -1, "idx": "11795"}'
b'{"is_cold": false, "events": -1, "idx": "11796"}'
b'{"is_cold": false, "events": -1, "idx": "11797"}'
b'{"is_cold": false, "events": -1, "idx": "11798"}'
b'{"is_cold": false, "events": -1, "idx": "11799"}'
b'{"is_cold": false, "events": -1, "idx": "11800"}'
b'{"is_cold": false, "events": -1, "idx": "11801"}'
b'{"is_cold": false, "events": 10, "idx": "11802"}'
b'{"is_cold": false, "events": -1, "idx": "11803"}'
b'{"is_cold": false, "events": -1, "idx": "11804"}'
b'{"is_cold": false, "events": -1, "idx": "11805"}'
b'{"is_cold": false, "events": -1, "idx": "11806"}'
b'{"is_cold": false, "events": -1, "idx": "11807"}'
b'{"is_cold": false, "events": -1, "idx": "11808"}'
b'{"is_cold": false, "events": -1, "idx": "11809"}'
b'{"is_cold": false, "events": -1, "idx": "11810"}'
b'{"is_cold": false, "events": -1, "idx": "11811"}'
b'{"is_cold": false, "events": 6, "idx": "11812"}'
b'{"is_cold": false, "events": -1, "idx": "11813"}'
b'{"is_cold": false, "events": -1, "idx": "11814"}'
b'{"is_cold": false, "events": -1, "idx": "11815"}'
b'{"is_cold": false, "events": -1, "idx": "11816"}'
b'{"is_cold": false, "events": -1, "idx": "11817"}'
b'{"is_cold": false, "events": 3, "idx": "11818"}'
b'{"is_cold": false, "events": -1, "idx": "11819"}'
b'{"is_cold": false, "events": -1, "idx": "11820"}'
b'{"is_cold": false, "events": 5, "idx": "11821"}'
b'{"is_cold": false, "events": -1, "idx": "11822"}'
b'{"is_cold": false, "events": -1, "idx": "11823"}'
b'{"is_cold": false, "events": -1, "idx": "11824"}'
b'{"is_cold": false, "events": -1, "idx": "11825"}'
b'{"is_cold": false, "events": 6, "idx": "11826"}'
b'{"is_cold": false, "events": -1, "idx": "11827"}'
b'{"is_cold": false, "events": -1, "idx": "11828"}'
b'{"is_cold": false, "events": -1, "idx": "11829"}'
b'{"is_cold": false, "events": -1, "idx": "11830"}'
b'{"is_cold": false, "events": -1, "idx": "11831"}'
b'{"is_cold": false, "events": 5, "idx": "11832"}'
b'{"is_cold": false, "events": -1, "idx": "11833"}'
b'{"is_cold": false, "events": -1, "idx": "11834"}'
b'{"is_cold": false, "events": -1, "idx": "11835"}'
b'{"is_cold": false, "events": -1, "idx": "11836"}'
b'{"is_cold": false, "events": 4, "idx": "11837"}'
b'{"is_cold": false, "events": -1, "idx": "11838"}'
b'{"is_cold": false, "events": -1, "idx": "11839"}'
b'{"is_cold": false, "events": -1, "idx": "11840"}'
b'{"is_cold": false, "events": 4, "idx": "11841"}'
b'{"is_cold": false, "events": -1, "idx": "11842"}'
b'{"is_cold": false, "events": -1, "idx": "11843"}'
